MJZ,Мирный,Мирный,114.038928,62.534689,Asia/Yakutsk
NBC,Бегишево,Нижнекамск,52.06,55.34,Europe/Moscow
NOZ,Спиченково,Новокузнецк,86.8772,53.8114,Asia/Novokuznetsk
NAL,Нальчик,Нальчик,43.6366,43.5129,Europe/Moscow
OGZ,Беслан,Владикавказ,44.6066,43.2051,Europe/Moscow
CSY,Чебоксары,Чебоксары,47.3473,56.0903,Europe/Moscow
NYM,Надым,Надым,72.6989,65.4809,Asia/Yekaterinburg
NYA,Нягань,Нягань,65.615,62.11,Asia/Yekaterinburg
URS,Курск-Восточный,Курск,36.2956,51.7506,Europe/Moscow
SKX,Саранск,Саранск,45.2123,54.1251,Europe/Moscow
TBW,Донское,Тамбов,41.48,52.81,Europe/Moscow
OVS,Советский,Советский,63.6044,61.32,Asia/Yekaterinburg
IJK,Ижевск,Ижевск,53.4575,56.8281,Europe/Samara
SLY,Салехард,Салехард,66.611042,66.590753,Asia/Yekaterinburg
HMA,Ханты-Мансийск,Ханты-Мансийск,69.086067,61.028479,Asia/Yekaterinburg
RGK,Горно-Алтайск,Горно-Алтайск,85.833333,51.966667,Asia/Krasnoyarsk
UKX,Усть-Кут,Усть-Кут,105.7167,56.85,Asia/Irkutsk
GDZ,Геленджик,Геленджик,38.016666666667,44.566666666667,Europe/Moscow
NFG,Нефтеюганск,Нефтеюганск,72.65,61.1083,Asia/Yekaterinburg
VKT,Воркута,Воркута,63.9931,67.4886,Europe/Moscow
KJA,Емельяново,Красноярск,92.475,56.18,Asia/Krasnoyarsk
PEE,Пермь,Пермь,56.021214,57.914517,Asia/Yekaterinburg
EYK,Белоярский,Белоярский,66.683056,63.683056,Asia/Yekaterinburg
SWT,Стрежевой,Стрежевой,77.65,60.716667,Asia/Krasnoyarsk
KGD,Храброво,Калининград,20.592633,54.89005,Europe/Kaliningrad
KEJ,Кемерово,Кемерово,86.107208,55.270094,Asia/Novokuznetsk
LED,Пулково,Санкт-Петербург,30.262503,59.800292,Europe/Moscow
YKS,Якутск,Якутск,129.770672,62.09325,Asia/Yakutsk
KHV,Хабаровск-Новый,Хабаровск,135.188361,48.528044,Asia/Vladivostok
PKC,Елизово,Петропавловск-Камчатский,158.453669,53.167889,Asia/Kamchatka
UUS,Хомутово,Южно-Сахалинск,142.717531,46.888672,Asia/Sakhalin
VVO,Владивосток,Владивосток,132.148017,43.398953,Asia/Vladivostok
IKT,Иркутск,Иркутск,104.388975,52.268028,Asia/Irkutsk
GDX,Магадан,Магадан,150.720439,59.910989,Asia/Magadan
CNN,Чульман,Нерюнгри,124.914,56.9139,Asia/Yakutsk
BTK,Братск,Братск,101.698331,56.370556,Asia/Irkutsk
ABA,Абакан,Абакан,91.385,53.74,Asia/Krasnoyarsk
